num,p3
1,PSOE (Partido Socialista Obrero Español)
2,PP (Partido Popular)
3,Vox
4,Sumar
5,ERC (Esquerra Republicana de Catalunya)
6,JxCAT – Junts (Junts per Catalunya – Junts)
7,EAJ – PNV (Euzko Alderdi Jeltzalea – Partido Nacionalista Vasco)
8,EH Bildu (Euskal Herria Bildu)
9,Coalición Canaria
10,Nueva Canarias – Bloque Canarista
11,BNG (Bloque Nacionalista Galego)
12,CUP – PR (Candidatura D’Unitat Popular – Per la Ruptura)
13,España Vaciada
14,UPN (Unión del Pueblo Navarro)
15,UPL (Unión del Pueblo Leonés)
16,Otro
17,Votaría en blanco
18,Votaría nulo
19,No votaría
98,Prefiero no contestar
99,No lo sé
