id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p8_6,p8_7,p8_8,p8_9,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p9_8,p9_9,p10,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p12,p13_1,p13_2,p13_3,p13_4,p13_5,p13_6,p13_7,p13_8,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
1,Hombre,44,35-44,100.001 - 500.000,Murcia,"Murcia, Región de","Sí, con uno/a de 0 a 8 años",Tercer Grado (Máster),A1,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,0 no le votaría nunca,0 no le votaría nunca,5,PSOE (Partido Socialista Obrero Español),3,Mucho,Mucho,Bastante,Bastante,Mucho,Mucho,Poco,Bastante,Bastante,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Con Palestina,Mal,Mal,Mal,Regular,Regular,Regular,Muy mal,Muy mal,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.2286560845349468
2,Mujer,44,35-44,20.001 - 50.000,Valladolid,Castilla y León,"Sí, con uno/a de 9 a 12 años",Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,A2,Llego/se llega justo a final de mes,"10 con toda seguridad, iría a votar",PP (Partido Popular),Vox,0 no le votaría nunca,8,8,0 no le votaría nunca,Vox,6,Mucho,Bastante,Bastante,Bastante,Mucho,Mucho,Bastante,Bastante,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Con ninguno de los dos,No lo sé,No lo sé,No lo sé,Mal,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",0.9507261982913896
3,Mujer,45,45-54,100.001 - 500.000,Burgos,Castilla y León,"Sí, con uno/a de 0 a 8 años",Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,B,Llego/se llega justo a final de mes,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he oído hablar de ella",No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, primer ciclo",0.7305901501429886
4,Mujer,71,65+,50.001 - 100.000,Barcelona,Cataluña,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A2,He tenido/se ha tenido que contraer deuda,"10 con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 no le votaría nunca,6,0 no le votaría nunca,0 no le votaría nunca,PP (Partido Popular),5,Bastante,Mucho,Bastante,Bastante,Mucho,Mucho,Bastante,Mucho,Bastante,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",No lo sé,Nada de acuerdo,No lo sé,Muy de acuerdo,Bastante de acuerdo,Muy de acuerdo,Con ambos por igual,No lo sé,No lo sé,No lo sé,Regular,Regular,Mal,Regular,No lo sé,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",1.0449659547799584
5,Hombre,58,55-64,10.001 - 20.000,Albacete,Castilla - La Mancha,"Sí, con uno/a de 18 años o más","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",A1,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",Sumar,Sumar,3,0 no le votaría nunca,0 no le votaría nunca,9,Sumar,3,Mucho,Bastante,Poco,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Con ninguno de los dos,Mal,Regular,Muy mal,Mal,Mal,Mal,Mal,Muy mal,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.0897096850364003
6,Hombre,65,65+,< 10.000,Asturias,"Asturias, Principado de","Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,8,PP (Partido Popular),PP (Partido Popular),0 no le votaría nunca,8,6,0 no le votaría nunca,PP (Partido Popular),8,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",No lo sé,No lo sé,No lo sé,Bastante de acuerdo,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",1.098957987576675
7,Hombre,32,25-34,20.001 - 50.000,Valencia/València,Comunitat Valenciana,"Sí, con uno/a de 0 a 8 años",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A2,Ahorro/se ahorra un poco de dinero cada mes,"10 con toda seguridad, iría a votar",Prefiero no contestar,Prefiero no contestar,0 no le votaría nunca,8,6,0 no le votaría nunca,No voté,5,Bastante,Mucho,Mucho,Mucho,Bastante,Poco,Mucho,Bastante,Nada,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Con Israel,Regular,Mal,Bien,Muy mal,Muy mal,Muy mal,No lo sé,No lo sé,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",1.039796587093241
8,Hombre,39,35-44,500.000+,Valencia/València,Comunitat Valenciana,"Sí, con uno/a de 9 a 12 años",Tercer Grado (Máster),A1,Ahorro/se ahorra un poco de dinero cada mes,7,Vox,Vox,1,3,9,1,Vox,7,No lo sé,Nada,Mucho,Bastante,Mucho,Bastante,Bastante,Nada,Nada,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,"Sí, he seguido con cierto detalle las noticias sobre la guerra",Bastante de acuerdo,Muy de acuerdo,Poco de acuerdo,Nada de acuerdo,Nada de acuerdo,Bastante de acuerdo,Con ninguno de los dos,Regular,Mal,Bien,Muy mal,Muy mal,Muy mal,Bien,Muy bien,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",1.2545249401334126
9,Mujer,73,65+,500.000+,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,C,He tenido/se ha tenido que echar mano del ahorro,"10 con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 le votaría siempre,3,0 no le votaría nunca,7,PSOE (Partido Socialista Obrero Español),3,Mucho,Mucho,Bastante,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión",Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,"Sufro o he sufrido ansiedad, depresión","Sufro o he sufrido ansiedad, depresión","Sí, he seguido con cierto detalle las noticias sobre la guerra",Nada de acuerdo,Nada de acuerdo,Nada de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Con Palestina,Bien,Muy bien,Regular,Bien,Bien,Regular,Mal,Mal,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",1.0101153215173735
10,Hombre,38,35-44,< 10.000,Badajoz,Extremadura,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,5,No lo sé,PSOE (Partido Socialista Obrero Español),5,2,0 no le votaría nunca,0 no le votaría nunca,PSOE (Partido Socialista Obrero Español),4,Bastante,Bastante,Bastante,Bastante,Mucho,Bastante,Mucho,No lo sé,Poco,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,Siento o he sentido desánimo y/o pesimismo,No he sentido nada esto,No he sentido nada esto,No he sentido nada esto,Siento o he sentido desánimo y/o pesimismo,"Sí, he oído hablar de ella",No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Con ninguno de los dos,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,No lo sé,Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.4324449316104397
